Meldedatum;impf_quote_erst;impf_quote_voll
2020-12-27;0.0;0.0
2020-12-28;0.001;0.0
2020-12-29;0.001;0.0
2020-12-30;0.002;0.0
2020-12-31;0.002;0.0
2021-01-01;0.003;0.0
2021-01-02;0.003;0.0
2021-01-03;0.004;0.0
2021-01-04;0.004;0.0
2021-01-05;0.005;0.0
2021-01-06;0.006;0.0
2021-01-07;0.006;0.0
2021-01-08;0.007;0.0
2021-01-09;0.008;0.0
2021-01-10;0.008;0.0
2021-01-11;0.009;0.0
2021-01-12;0.01;0.0
2021-01-13;0.011;0.0
2021-01-14;0.012;0.0
2021-01-15;0.013;0.0
2021-01-16;0.014;0.0
2021-01-17;0.014;0.0
2021-01-18;0.015;0.0
2021-01-19;0.016;0.001
2021-01-20;0.017;0.001
2021-01-21;0.018;0.002
2021-01-22;0.019;0.002
2021-01-23;0.019;0.003
2021-01-24;0.02;0.003
2021-01-25;0.02;0.004
2021-01-26;0.021;0.004
2021-01-27;0.022;0.005
2021-01-28;0.022;0.006
2021-01-29;0.023;0.006
2021-01-30;0.023;0.007
2021-01-31;0.023;0.007
2021-02-01;0.024;0.008
2021-02-02;0.025;0.009
2021-02-03;0.026;0.01
2021-02-04;0.026;0.011
2021-02-05;0.027;0.012
2021-02-06;0.028;0.012
2021-02-07;0.028;0.013
2021-02-08;0.029;0.013
2021-02-09;0.029;0.014
2021-02-10;0.03;0.015
2021-02-11;0.031;0.016
2021-02-12;0.032;0.017
2021-02-13;0.033;0.017
2021-02-14;0.033;0.018
2021-02-15;0.034;0.018
2021-02-16;0.035;0.019
2021-02-17;0.036;0.02
2021-02-18;0.038;0.02
2021-02-19;0.039;0.021
2021-02-20;0.04;0.021
2021-02-21;0.04;0.022
2021-02-22;0.042;0.023
2021-02-23;0.043;0.023
2021-02-24;0.044;0.024
2021-02-25;0.046;0.025
2021-02-26;0.048;0.025
2021-02-27;0.049;0.026
2021-02-28;0.05;0.026
2021-03-01;0.052;0.027
2021-03-02;0.054;0.027
2021-03-03;0.056;0.028
2021-03-04;0.058;0.029
2021-03-05;0.06;0.03
2021-03-06;0.062;0.03
2021-03-07;0.064;0.031
2021-03-08;0.066;0.031
2021-03-09;0.068;0.032
2021-03-10;0.071;0.033
2021-03-11;0.073;0.034
2021-03-12;0.076;0.035
2021-03-13;0.079;0.035
2021-03-14;0.08;0.036
2021-03-15;0.083;0.036
2021-03-16;0.084;0.037
2021-03-17;0.086;0.038
2021-03-18;0.087;0.039
2021-03-19;0.089;0.04
2021-03-20;0.091;0.041
2021-03-21;0.092;0.041
2021-03-22;0.095;0.042
2021-03-23;0.097;0.043
2021-03-24;0.1;0.044
2021-03-25;0.103;0.045
2021-03-26;0.107;0.046
2021-03-27;0.11;0.047
2021-03-28;0.111;0.047
2021-03-29;0.114;0.049
2021-03-30;0.117;0.05
2021-03-31;0.12;0.051
2021-04-01;0.122;0.052
2021-04-02;0.124;0.053
2021-04-03;0.126;0.054
2021-04-04;0.128;0.054
2021-04-05;0.13;0.055
2021-04-06;0.133;0.056
2021-04-07;0.14;0.058
2021-04-08;0.148;0.059
2021-04-09;0.155;0.06
2021-04-10;0.158;0.06
2021-04-11;0.161;0.061
2021-04-12;0.165;0.062
2021-04-13;0.171;0.063
2021-04-14;0.179;0.064
2021-04-15;0.186;0.065
2021-04-16;0.193;0.066
2021-04-17;0.196;0.066
2021-04-18;0.199;0.067
2021-04-19;0.203;0.068
2021-04-20;0.209;0.068
2021-04-21;0.217;0.069
2021-04-22;0.224;0.07
2021-04-23;0.229;0.071
2021-04-24;0.233;0.071
2021-04-25;0.236;0.072
2021-04-26;0.24;0.073
2021-04-27;0.249;0.074
2021-04-28;0.261;0.075
2021-04-29;0.27;0.077
2021-04-30;0.278;0.079
2021-05-01;0.281;0.08
2021-05-02;0.284;0.08
2021-05-03;0.288;0.082
2021-05-04;0.296;0.084
2021-05-05;0.307;0.086
2021-05-06;0.316;0.089
2021-05-07;0.324;0.092
2021-05-08;0.327;0.093
2021-05-09;0.329;0.095
2021-05-10;0.334;0.097
2021-05-11;0.343;0.1
